标题,里程,日期,地区,会员,原价,现价,过户情况
宝马5系 2020款 530Li 领先型 豪华套装,6.8万公里,2019-11,宁波,3年钻石会员,33.80,50.68万,无
宝马5系 2019款 530Li 领先型 M运动套装,7万公里,2019-01,宁波,3年钻石会员,33.80,50.36万,无
宝马X3 2020款 xDrive28i 豪华套装,7万公里,2020-05,宁波,3年钻石会员,29.80,46.22万,无
宝马5系 2018款 525Li M运动套装,7万公里,2018-09,宁波,3年钻石会员,27.80,47.42万,无
宝马X1 2018款 sDrive20Li 领先型,6.6万公里,2018-05,宁波,3年钻石会员,15.80,34.39万,无
宝马5系新能源 2019款 改款 530Le 豪华套装,7万公里,2019-09,宁波,3年钻石会员,29.88,53.94万,无
宝马5系(进口) 2019款 525i M运动套装,4.6万公里,2019-08,宁波,3年钻石会员,29.80,45.58万,无
宝马3系 2020款 改款 325Li 首发版,1.9万公里,2020-04,宁波,3年钻石会员,26.68,35.16万,无
宝马1系 2022款 125i M运动曜夜版,0.06万公里,未上牌,湖州,1年黄金会员,18.98,26.79万,准新车-4S店直卖
宝马iX3 2021款 创领型,0.6万公里,2021-06,湖州,1年黄金会员,27.98,47.75万,准新车-4S店直卖
宝马3系 2018款 330i M运动曜夜版,8.1万公里,2018-11,湖州,1年黄金会员,20.88,48.50万,4S店直卖
宝马4系 2014款 428i 敞篷风尚设计套装,6万公里,2016-02,宁波,2年黄金会员,22.50,73.38万,无
宝马2系 2015款 220i 敞篷轿跑车 M运动型,5.5万公里,2016-03,宁波,2年黄金会员,17.00,46.57万,无
宝马3系 2017款 318i 时尚型,5.6万公里,2018-01,温州,2年黄金会员,13.98,31.26万,无
宝马5系 2018款 528Li 上市特别版,7万公里,2017-12,宁波,1年黄金会员,24.88,48.84万,无
宝马5系 2021款 525Li 豪华套装,3万公里,2021-08,温州,1年黄金会员,37.80,46.34万,无
宝马5系 2014款 525Li 领先型,9.5万公里,2016-02,宁波,1年黄金会员,18.00,50.65万,无
宝马5系 2018款 改款 530Li 领先型 M运动套装,3.8万公里,2019-01,温州,1年黄金会员,34.80,51.77万,无
宝马X3 2020款  xDrive28i M运动套装,4.5万公里,2019-10,温州,1年黄金会员,29.80,46.22万,无
宝马5系 2020款 530Li 尊享型 M运动套装,5万公里,2020-03,温州,1年黄金会员,38.80,55.02万,无
宝马iX3 2021款 创领型,1万公里,2021-02,杭州,5年黑金会员,27.88,47.75万,新上架-准新车
宝马X1 2022款 sDrive25Li 领先型,0.01万公里,未上牌,杭州,5年黑金会员,22.18,33.63万,新上架-准新车
宝马3系 2022款 330i M运动曜夜套装,0.08万公里,未上牌,杭州,5年黑金会员,30.88,40.26万,新上架-准新车
宝马1系 2018款 118i 设计套装型,5.5万公里,2019-01,杭州,5年黑金会员,10.88,27.98万,新上架-0次过户
宝马X2 2020款 sDrive20i M越野套装,2.5万公里,2020-12,杭州,5年黑金会员,17.88,28.96万,0次过户-原厂质保
宝马4系 2022款 430i Gran Coupe M运动曜夜套装,0.01万公里,未上牌,杭州,5年黑金会员,48.80,51.66万,准新车-0次过户
宝马6系GT 2018款 640i xDrive M运动套装,6.3万公里,2018-11,杭州,5年黑金会员,46.88,86.83万,无
宝马5系新能源 2019款 530Le 豪华套装,6.7万公里,2019-04,嘉兴,3年黄金会员,28.80,53.94万,无
宝马X3 M 2019款 X3 M雷霆版,5万公里,2020-10,金华,3年黄金会员,54.80,97.68万,无
宝马3系 2020款 320Li M运动套装,5万公里,2020-05,金华,2年黄金会员,24.30,34.62万,无
宝马X5新能源(进口) 2021款 xDrive45e M运动套装,5.25万公里,2021-05,杭州,5年黑金会员,73.88,93.34万,0次过户-原厂质保
宝马X6 2021款 xDrive30i M运动套装,2万公里,2021-05,宁波,3年黄金会员,59.80,83.24万,无
宝马i4 2022款 M50,0.01万公里,未上牌,杭州,5年黑金会员,52.99,58.60万,准新车-0次过户
宝马2系 2018款 220i 敞篷轿跑车 运动设计套装,8.6万公里,2018-06,金华,2年黄金会员,17.50,31.89万,无
宝马X3 2020款  xDrive28i M运动套装,2.36万公里,2020-05,宁波,1年黄金会员,30.48,46.22万,无
宝马3系 2019款 320Li 时尚型,7万公里,2019-01,杭州,3年黄金会员,18.60,34.39万,无
宝马X1 2018款 sDrive18Li 时尚型,4.7万公里,2019-02,杭州,2年黄金会员,15.89,30.81万,无
宝马X1新能源 2021款 xDrive30Le 尊享型,2.3万公里,2021-06,杭州,6年钻石会员,22.80,43.40万,准新车-4S店直卖
宝马3系 2020款 改款 325Li M运动曜夜套装,6万公里,2020-03,宁波,7年黄金会员,27.90,39.50万,无
宝马X5(进口) 2020款 xDrive40i M运动套装,5.2万公里,2020-08,宁波,7年黄金会员,63.00,82.48万,无
宝马M4 2018款 M4敞篷轿跑车车迷限量版,5万公里,2018-03,杭州,1年黄金会员,55.80,130.14万,无
宝马X5(进口) 2014款 xDrive35i 典雅型,9.4万公里,2014-09,杭州,2年黄金会员,27.98,90.96万,无
宝马3系 2017款 320i M运动型,6.1万公里,2017-07,宁波,3年钻石会员,16.80,34.74万,0次过户
宝马3系GT 2018款 320i 时尚型,4.5万公里,2018-10,温州,3年黄金会员,20.50,40.14万,无
宝马5系(进口) 2014款 520i 典雅型,7万公里,2017-01,宁波,3年钻石会员,18.00,49.61万,0次过户
宝马5系 2020款 525Li M运动套装,6.95万公里,2020-02,温州,3年黄金会员,33.80,46.34万,无
宝马5系 2019款 改款 530Li 领先型 M运动套装,4.9万公里,2019-08,温州,3年黄金会员,31.50,50.36万,无
宝马3系 2019款 320Li M运动曜夜版,6.1万公里,2019-03,杭州,3年黄金会员,21.88,39.06万,4S店直卖-0次过户
宝马4系 2021款 430i M运动曜夜版,1.4万公里,2021-04,杭州,4年黄金会员,45.80,49.91万,无
宝马3系 2015款 316i 进取型,7.5万公里,2014-07,杭州,1年黄金会员,10.80,30.72万,无
宝马3系GT 2018款 320i 时尚型,4.5万公里,2019-08,杭州,1年黄金会员,21.98,40.14万,无
宝马5系新能源 2021款 535Le M运动套装,3万公里,2021-01,杭州,3年黄金会员,36.80,54.26万,4S店直卖-0次过户
宝马X3 2018款 xDrive28i M运动套装 国VI,4.8万公里,2019-01,杭州,3年黄金会员,29.80,46.22万,4S店直卖-0次过户
宝马X5(进口) 2020款 xDrive40i M运动套装,2万公里,2021-01,杭州,3年黄金会员,66.89,82.48万,无
宝马X1 2016款 xDrive20Li 豪华型,9万公里,2017-04,温州,4年黄金会员,14.68,41.79万,无
宝马X3 2019款 xDrive28i M运动套装,3万公里,2019-08,温州,4年黄金会员,28.90,46.22万,无
宝马3系 2021款 改款 320Li M运动套装,4.7万公里,2021-05,宁波,5年黄金会员,26.80,34.62万,无
宝马M2 2016款 M2,6.1万公里,2017-08,杭州,2年黄金会员,33.80,69.52万,无
宝马M4 2021款 M4双门轿跑车 雷霆版,0.7万公里,2022-01,杭州,2年黄金会员,93.80,95.51万,无
宝马3系 2020款 325Li M运动曜夜套装,4万公里,2021-02,宁波,2年黄金会员,24.60,39.50万,新上架-准新车
宝马3系 2020款 325Li 首发版,5.1万公里,2020-01,金华,6年黄金会员,25.68,35.16万,0次过户
宝马X1 2014款 sDrive18i 时尚型,15万公里,2015-02,杭州,7年黄金会员,9.26,30.94万,无
宝马5系 2011款 523Li 领先型,22万公里,2011-12,湖州,1年黄金会员,8.25,48.80万,0次过户
宝马3系 2013款 328Li 豪华设计套装,11.3万公里,2013-03,宁波,1年黄金会员,9.78,48.74万,无
宝马7系 2013款 730Li 领先型,13万公里,2013-06,温州,2年黄金会员,19.80,101.33万,无
宝马3系(进口) 2009款 330i敞篷轿跑车,15万公里,2011-10,湖州,1年黄金会员,7.88,78.70万,0次过户
宝马5系GT 2011款 535i 典雅型,15万公里,2011-09,温州,2年黄金会员,12.58,87.81万,0次过户
宝马3系(进口) 2013款 320i运动设计套装 旅行版,14万公里,2014-09,宁波,2年黄金会员,14.98,50.97万,无
宝马X6 2015款 xDrive35i 豪华型,7.9万公里,2015-09,宁波,1年黄金会员,32.98,108.33万,0次过户
宝马X3 2020款  xDrive30i 领先型 M运动套装,4万公里,2020-09,宁波,1年黄金会员,32.50,52.08万,无
宝马4系 2014款 428i 敞篷风尚设计套装,6.5万公里,2015-03,宁波,2年黄金会员,21.00,73.38万,0次过户
宝马4系 2014款 420i 敞篷豪华设计套装,7万公里,2015-06,宁波,2年黄金会员,22.50,66.21万,0次过户
宝马1系(进口) 2012款 118i 运动型,7万公里,2012-04,宁波,2年黄金会员,6.00,33.22万,0次过户
宝马X1 2013款 sDrive18i 时尚型,5.8万公里,2014-06,金华,4年黄金会员,7.60,30.94万,0次过户
宝马4系 2016款 420i 敞篷时尚型,5万公里,2017-03,宁波,2年黄金会员,24.00,61.87万,0次过户
宝马M3 2009款 M3敞篷轿跑车,12万公里,2009-06,杭州,7年黄金会员,15.58,130.26万,无
宝马3系 2022款 325Li M运动曜夜套装,0.3万公里,2022-06,杭州,6年黄金会员,32.80,38.96万,无
宝马X5(进口) 2017款 xDrive35i 典雅型,8万公里,2017-07,宁波,1年黄金会员,35.98,90.96万,0次过户
宝马5系(进口) 2018款 525i M运动套装,6.8万公里,2018-08,宁波,1年黄金会员,26.98,46.66万,0次过户
宝马5系GT 2011款 535i xDrive豪华型,14.2万公里,2011-06,湖州,1年黄金会员,12.50,106.59万,无
宝马4系 2014款 428i xDrive 敞篷设计套装型,7万公里,2014-09,宁波,2年黄金会员,20.00,75.98万,0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,7万公里,2015-02,宁波,2年黄金会员,22.00,73.38万,0次过户
宝马3系 2020款 325Li M运动套装,3万公里,2020-05,宁波,2年黄金会员,22.60,37.66万,0次过户-原厂质保
宝马X4 2020款 xDrive25i M运动套装,6万公里,2019-12,温州,3年黄金会员,29.80,49.49万,无
宝马5系 2013款 535Li 领先型,10.6万公里,2014-03,宁波,1年黄金会员,16.30,69.43万,无
宝马3系 2013款 316i 运动设计套装,10万公里,2013-10,温州,1年黄金会员,8.88,33.65万,无
宝马5系 2018款 528Li 上市特别版,5.8万公里,2018-01,嘉兴,4年黄金会员,28.99,48.84万,0次过户
宝马X5(进口) 2020款 xDrive30i M运动套装,5万公里,2020-07,衢州,6年黄金会员,52.58,75.97万,无
宝马5系 2022款 530Li 领先型 M运动套装,0.05万公里,2022-08,衢州,6年黄金会员,41.88,50.36万,无
宝马2系 2015款 218i 敞篷轿跑车,4.9万公里,2016-12,金华,4年黄金会员,15.98,35.31万,0次过户
宝马2系 2021款 225i 四门轿跑车 M运动曜夜套装Pro,1.9万公里,2021-01,湖州,1年黄金会员,20.98,33.63万,原厂质保
宝马M5 2021款 M5,2.8万公里,2021-10,台州,6年黄金会员,116.80,156.19万,无
宝马4系 2017款 425i M运动套装,10.7万公里,2017-11,绍兴,4年黄金会员,20.98,39.06万,无
宝马M4 2019款 M4双门轿跑车竞速版,5万公里,2019-11,台州,6年黄金会员,59.80,97.68万,无
宝马2系 2015款 218i 敞篷轿跑车,5万公里,2016-11,宁波,2年黄金会员,15.50,35.31万,0次过户
宝马4系 2017款 425i Gran Coupe 领先型M运动套装,9.8万公里,2019-01,湖州,4年黄金会员,23.68,39.06万,无
宝马3系 2021款 320Li M运动套装,3.5万公里,2020-10,杭州,1年黄金会员,23.80,34.62万,0次过户-原厂质保
宝马5系 2014款 525Li 豪华设计套装,15.1万公里,2015-04,杭州,4年钻石会员,17.50,54.23万,无
宝马X5(进口) 2014款 xDrive35i 领先型,9万公里,2014-03,宁波,1年黄金会员,22.80,99.65万,无
宝马X5(进口) 2014款 xDrive35i 豪华型,9万公里,2014-11,宁波,1年黄金会员,27.88,103.99万,0次过户
宝马1系(进口) 2011款 120i 敞篷轿跑车,8.8万公里,2012-05,嘉兴,3年黄金会员,7.80,39.95万,无
宝马X6 2015款 xDrive35i 领先型,10万公里,2016-06,宁波,1年黄金会员,27.80,99.65万,无
宝马M2 2018款 M2 雷霆版,3万公里,2020-04,台州,6年黄金会员,53.80,68.80万,无
宝马1系(进口) 2008款 120i 自动挡,7.1万公里,2009-10,湖州,1年黄金会员,3.38,31.26万,无
宝马5系 2014款 520Li 典雅型,9万公里,2015-04,温州,6年黄金会员,16.80,47.28万,0次过户
宝马1系 2020款 125i 领先型M运动套装,3.9万公里,2020-01,嘉兴,2年黄金会员,13.80,26.46万,无
宝马3系 2013款 320i 时尚型,8万公里,2013-09,温州,2年黄金会员,9.28,36.80万,0次过户
宝马5系 2014款 525Li 豪华设计套装,10万公里,2014-08,丽水,1年黄金会员,15.30,54.23万,无
宝马3系 2013款 改款 320Li 豪华设计套装,12万公里,2014-05,温州,1年黄金会员,12.25,42.98万,无
宝马7系 2011款 730Li典雅型,18万公里,2011-11,湖州,1年黄金会员,10.88,97.48万,0次过户
宝马3系 2013款 320Li 时尚型,13万公里,2014-03,温州,1年黄金会员,10.98,38.49万,无
宝马5系 2010款 523Li 豪华型,11万公里,2010-04,温州,2年黄金会员,4.88,54.66万,0次过户
宝马M4 2014款 M4双门轿跑车,8.31万公里,2016-03,绍兴,4年黄金会员,48.88,108.33万,无
宝马4系 2017款 425i Gran Coupe 领先型M运动套装,7.72万公里,2018-07,杭州,4年钻石会员,21.58,39.06万,无
宝马X1 2015款 xDrive20i 时尚晋级版,9.6万公里,2015-11,绍兴,4年黄金会员,11.98,38.97万,0次过户
宝马M2 2018款 M2,8.1万公里,2018-11,金华,4年黄金会员,34.80,65.11万,无
宝马7系 2016款 730Li 领先型,7万公里,2017-03,宁波,2年黄金会员,37.50,97.48万,0次过户
宝马3系 2020款 325Li M运动套装,2.6万公里,2020-03,宁波,2年黄金会员,25.00,37.66万,0次过户-原厂质保
宝马M4 2018款 M4敞篷轿跑车车迷限量版,2.7万公里,2019-03,杭州,1年黄金会员,65.80,130.14万,0次过户
宝马5系 2014款 525Li 领先型,8万公里,2016-06,嘉兴,2年黄金会员,19.80,50.65万,0次过户
宝马X3 2022款 改款 xDrive30i 领先型 M曜夜套装,1万公里,2022-01,金华,3年黄金会员,36.80,47.97万,无
宝马1系(进口) 2011款 120i 敞篷轿跑车,5万公里,2014-07,宁波,2年黄金会员,9.30,39.95万,0次过户
宝马3系(进口) 2012款 318i领先型,9万公里,2011-07,杭州,3年黄金会员,4.60,32.54万,无
宝马2系 2019款 225i 敞篷轿跑车 运动设计套装,4万公里,2020-10,金华,1年黄金会员,24.80,33.63万,无
宝马3系 2014款 320Li 时尚型,4万公里,2015-06,温州,1年黄金会员,13.80,38.95万,0次过户
宝马4系 2019款 425i 敞篷M运动曜夜版,1.6万公里,2019-11,金华,1年黄金会员,37.80,58.27万,0次过户
宝马3系 2020款 325Li 首发版,1.5万公里,2020-01,金华,3年黄金会员,25.28,35.16万,无
宝马3系 2020款 325Li M运动套装,3万公里,2019-09,宁波,2年黄金会员,25.00,37.66万,0次过户
宝马X1 2016款 sDrive18Li 时尚型,5.8万公里,2017-04,宁波,1年黄金会员,11.88,31.04万,0次过户
宝马3系GT 2016款 320i 时尚型,6.8万公里,2017-11,宁波,1年黄金会员,17.58,43.20万,0次过户
宝马5系GT 2010款 535i 豪华型,15万公里,2010-11,宁波,1年黄金会员,12.88,105.07万,0次过户
宝马X1(进口) 2012款 sDrive18i豪华型,9.5万公里,2014-03,嘉兴,2年黄金会员,7.99,39.84万,0次过户
宝马7系 2019款 730Li M运动套装,3万公里,2020-02,宁波,2年黄金会员,55.00,89.88万,0次过户-原厂质保
宝马M3 2009款 M3敞篷轿跑车,9万公里,2011-09,宁波,2年黄金会员,22.90,130.26万,0次过户
宝马X5(进口) 2011款 美规版,16万公里,2011-12,温州,6年黄金会员,11.58,,无
宝马2系 2015款 218i 敞篷轿跑车,5万公里,2017-02,宁波,2年黄金会员,16.00,35.31万,0次过户
宝马Z4 2012款 sDrive35i十周年版,6.6万公里,2013-03,宁波,2年黄金会员,15.50,87.71万,0次过户
宝马X5(进口) 2019款 xDrive30i X设计套装,5.9万公里,2020-08,嘉兴,2年黄金会员,53.80,75.97万,0次过户-原厂质保
宝马X3(进口) 2013款 xDrive28i 豪华型,27万公里,2013-05,杭州,1年黄金会员,10.80,65.02万,无
宝马X5(进口) 2009款 xDrive30i领先型,10万公里,2009-04,宁波,2年黄金会员,8.00,92.59万,0次过户
宝马3系(进口) 2011款 330i敞篷轿跑版,8万公里,2012-02,宁波,2年黄金会员,12.00,80.65万,0次过户
宝马5系 2012款 523Li 领先型,15万公里,2012-01,嘉兴,3年黄金会员,12.50,49.89万,0次过户
宝马3系 2017款 320i M运动型,5万公里,2017-09,温州,2年黄金会员,16.98,34.74万,0次过户
宝马Z4 2009款 sDrive23i领先型,8.8万公里,2011-02,宁波,2年黄金会员,12.00,63.93万,0次过户
宝马3系 2013款 320Li 豪华设计套装,11.7万公里,2013-04,温州,2年黄金会员,10.90,43.31万,无
宝马3系(进口) 2009款 330i敞篷轿跑车,7万公里,2009-12,温州,6年黄金会员,10.80,78.70万,0次过户
宝马X1 2012款 sDrive18i 时尚型,8.7万公里,2013-01,嘉兴,3年黄金会员,7.42,30.61万,0次过户
宝马4系 2014款 428i  xDrive Gran Coupe 设计套装型,6.2万公里,2014-10,温州,1年黄金会员,17.88,66.43万,0次过户
宝马X1 2013款 xDrive20i X设计套装,10万公里,2013-11,温州,3年黄金会员,8.00,44.29万,0次过户
宝马5系 2013款 525Li 领先型,11万公里,2013-08,温州,3年黄金会员,13.80,49.89万,0次过户
宝马5系 2011款 523Li 豪华型,11万公里,2011-10,温州,3年黄金会员,11.20,53.14万,0次过户
宝马1系(进口) 2013款 改款 116i 领先型,5万公里,2014-05,杭州,6年黑金会员,7.78,28.44万,0次过户
宝马X3(进口) 2016款 xDrive20i M运动型,9万公里,2017-03,温州,3年黄金会员,18.80,54.49万,0次过户
宝马4系 2016款 430i Gran Coupe M运动型,6万公里,2017-11,嘉兴,2年黄金会员,24.98,63.50万,0次过户
宝马5系 2017款 525Li 豪华设计套装,7万公里,2016-12,绍兴,3年黄金会员,18.80,54.23万,无
宝马3系 2017款 320Li 豪华设计套装,8.84万公里,2017-03,杭州,6年黑金会员,16.58,41.24万,0次过户
宝马3系 2017款 318i 时尚型,6万公里,2017-10,温州,3年黄金会员,13.90,31.26万,0次过户
宝马3系 2018款 320Li 时尚型,10万公里,2017-10,衢州,1年黄金会员,15.68,35.15万,无
宝马1系 2019款 118i M运动套装,4万公里,2019-03,嘉兴,2年黄金会员,11.28,24.29万,0次过户
宝马3系 2017款 318i 时尚型,5万公里,2017-09,嘉兴,1年黄金会员,13.99,31.26万,0次过户
宝马5系 2018款 530Li 尊享型 M运动套装,5.6万公里,2018-01,温州,1年黄金会员,31.88,56.98万,0次过户
宝马2系 2015款 220i 敞篷轿跑车 M运动型,6.8万公里,2018-03,杭州,1年黄金会员,21.28,46.57万,0次过户
宝马3系 2015款 320Li 超悦版时尚型,10万公里,2015-11,温州,1年黄金会员,13.18,37.97万,0次过户
宝马7系 2011款 730Li典雅型,11.8万公里,2011-07,宁波,1年黄金会员,14.28,97.48万,0次过户
宝马3系 2015款 320i 超悦版时尚型,11.8万公里,2015-05,宁波,1年黄金会员,11.30,35.60万,0次过户
